                  Time             Pressure
#                 (hr)               (bara)
  1048 110.075
  1048 110.207
  1048 110.339
  1048 110.471
  1048 110.602
  1048.01 110.733
  1048.01 110.864
  1048.01 110.994
  1048.01 111.125
  1048.01 111.255
  1048.01 111.398
  1048.01 111.558
  1048.02 111.737
  1048.02 111.937
  1048.02 112.162
  1048.02 112.413
  1048.02 112.693
  1048.03 113.007
  1048.03 113.358
  1048.03 113.75
  1048.04 114.188
  1048.04 114.676
  1048.05 115.22
  1048.05 115.827
  1048.06 116.503
  1048.07 117.254
  1048.08 118.089
  1048.09 119.016
  1048.1 120.043
  1048.11 121.18
  1048.12 122.438
  1048.14 123.824
  1048.15 125.352
  1048.17 127.029
  1048.19 128.868
  1048.22 130.878
  1048.24 133.068
  1048.27 135.447
  1048.3 138.019
  1048.34 140.791
  1048.38 143.76
  1048.43 146.928
  1048.48 150.282
  1048.54 153.815
  1048.61 157.5
  1048.68 161.32
  1048.76 165.232
  1048.86 169.206
  1048.96 173.187
  1049.08 177.129
  1049.21 180.975
  1049.36 184.671
  1049.53 188.167
  1049.71 191.41
  1049.92 194.374
  1050.15 197.019
  1050.42 199.348
  1050.71 201.347
  1051.04 203.043
  1051.42 204.448
  1051.83 205.603
  1052.3 206.54
  1052.82 207.297
  1053.41 207.914
  1054.01 208.379
  1054.61 208.745
  1055.21 209.038
  1055.81 209.286
  1056.41 209.501
  1057.01 209.69
  1057.61 209.86
  1058.21 210.016
  1058.81 210.16
  1059.41 210.294
  1060.01 210.419
  1060.61 210.537
  1061.21 210.649
  1061.81 210.756
  1062.41 210.857
  1063.01 210.953
  1063.61 211.045
  1064.21 211.134
  1064.81 211.219
  1065.41 211.301
  1066.01 211.38
  1066.61 211.456
  1067.21 211.529
  1067.81 211.6
  1068.41 211.669
  1069.01 211.735
  1069.61 211.8
  1070.21 211.862
  1070.81 211.923
  1071.41 211.982
  1072.01 212.039
  1072.61 212.095
  1073.21 212.149
  1073.81 212.202
  1074.41 212.254
  1075.01 212.304
  1075.61 212.353
  1076.21 212.401
  1076.81 212.448
  1077.41 212.493
  1078.01 212.538
  1078.61 212.582
  1079.21 212.625
  1079.81 212.667
  1080.41 212.708
  1081.01 212.748
  1081.61 212.787
  1082.21 212.826
  1082.81 212.863
  1083.41 212.901
  1084.01 212.937
  1084.61 212.973
  1085.21 213.008
  1085.81 213.042
  1086.41 213.076
  1087.01 213.11
  1087.61 213.142
  1088.21 213.175
  1088.81 213.206
  1089.41 213.237
  1090.01 213.268
  1090.61 213.298
  1091.21 213.328
  1091.81 213.357
  1092.41 213.386
  1093.01 213.414
  1093.61 213.442
  1094.21 213.47
  1094.81 213.497
  1095.41 213.524
  1095.71 213.537
  1096 213.55
  
